Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
30/04/1990;1,7;2,1;9,8;31,8;26,96;24,2;92;89;1,6
01/05/1990;1;3,4;26,9;30,6;null;23,2;null;69;0
02/05/1990;1,7;1,1;0;30,2;25,32;23,2;92,25;89;0
03/05/1990;0,5;2;5,6;31,6;26,16;23;89,5;72;1,1
04/05/1990;1;7,7;0;33,6;26,8;23;86;67;0,7
05/05/1990;1,6;8;0,6;33;27;23,6;84,75;71;0,966667
06/05/1990;1,8;1,4;1,1;30,6;25,64;22,6;91,75;86;0,666667
07/05/1990;0,9;4,6;3,4;31,6;26,08;22;91;84;1,366667
08/05/1990;1,5;8,8;17;32,4;27,04;22,4;80,75;67;1,7
09/05/1990;1,6;8,9;0;32;null;22,7;null;68;0
10/05/1990;1,9;8,6;2,4;33;27,44;23,6;82,25;60;1,666667
11/05/1990;4,4;9,3;0;33,2;null;23,8;null;65;0
12/05/1990;2,2;9,6;0;32;null;23,2;null;61;1,75
13/05/1990;2,5;7,7;0;30;null;23,8;null;72;1,25
14/05/1990;1,9;9;3,7;32,8;null;23,4;null;59;2,3
15/05/1990;1,9;8,2;18,8;33;22,2;null;84,75;65;1,033333
16/05/1990;1,8;8,6;13,1;32,8;26,2;23;84,75;60;1,066667
17/05/1990;1,4;7,5;35;33;26,52;22,6;85,75;65;0,866667
18/05/1990;1,5;9,7;7;32,6;27,12;22,8;83;71;0,8
19/05/1990;2,5;5,3;0;32,6;26,68;24,2;86,75;82;0
20/05/1990;1,5;7,8;2,4;32,4;26,64;22,4;82,5;61;1,266667
21/05/1990;1,7;7,8;4;32,6;26,66;22,8;88;72;0,333333
22/05/1990;1,6;7,1;13,6;32,4;26,32;23,2;87,25;74;1,6
23/05/1990;1,2;9,9;0;32;26,6;23;83;60;0,666667
24/05/1990;2,8;10,2;0;33;26,36;22,8;84;64;0
25/05/1990;2,1;10;1,3;32,4;27,2;23,2;81,25;63;1,533333
26/05/1990;2,5;7,2;0;32,8;26,98;23,9;88;78;0,533333
27/05/1990;2;5,8;1,2;31,8;26,08;23;88,75;73;1,2
28/05/1990;1,5;8,6;7,4;32;26;22,2;81,25;58;2,466667
29/05/1990;2,3;9,9;1,6;32,6;25,32;22;80,75;60;2,966667
30/05/1990;2,7;7,9;10,8;32,8;26,52;21,8;85;62;1,966667
31/05/1990;1,8;6,8;3,4;32;26,04;23;86,75;73;1,533333
01/06/1990;1,3;7,1;0;32,6;26,52;22,8;83,75;65;0,8
02/06/1990;1,7;6,9;5,4;32,6;26,08;23,2;86,75;61;1,366667
03/06/1990;2,3;7,1;10,2;31,8;26,64;23,6;85,5;78;1,7
04/06/1990;1,5;7;0;32;26,84;23;81;64;1,7
05/06/1990;2,8;8,1;0;31,8;26,8;23,8;82,75;63;1,4
